2020-12-16 14:55:53,193 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:55:53,554 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:55:53,970 | source.corpora | INFO | read_corpora function was called.
2020-12-16 14:55:53,970 | source.corpora | INFO | __init__ function was called.
2020-12-16 14:56:01,303 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:56:01,640 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:56:13,316 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:56:17,348 | source.word2vec | INFO | calc_context function was called.
2020-12-16 14:56:17,348 | source.word2vec | INFO | __init__ function was called.
2020-12-16 14:56:25,679 | source.corpora | INFO | lemmatize_texts function was called.
2020-12-16 14:56:25,952 | source.corpora | INFO | clean_texts function was called.
2020-12-16 14:56:36,678 | source.corpora | INFO | delete_stopwords function was called.
2020-12-16 14:56:37,662 | source.tfidf | INFO | __init__ function was called.
